NC_011296.1	tig00004064	82.777	1347	188	24	916692	918008	1449818	1451150	0.0	1162
NC_011296.1	tig00004064	82.777	1347	188	23	916692	918008	1524222	1522890	0.0	1162
NC_011296.1	tig00004064	82.814	1315	190	25	919718	921024	1453215	1454501	0.0	1144
NC_011296.1	tig00004064	82.814	1315	190	25	919718	921024	1520825	1519539	0.0	1144
NC_011296.1	tig00004064	76.360	1066	192	49	918476	919510	1451968	1453004	5.24e-144	518
NC_011296.1	tig00004064	76.306	1072	194	49	918476	919516	1522072	1521030	5.24e-144	518
NC_011296.1	tig00004064	79.021	286	52	8	918065	918346	1451517	1451798	4.67e-45	189
NC_011296.1	tig00004064	79.422	277	49	8	918074	918346	1522514	1522242	4.67e-45	189
NC_011296.1	tig00004064	97.561	82	1	1	81344	81425	47984	47904	4.77e-30	139
NC_011296.1	tig00004064	92.308	91	6	1	874723	874813	152041	152130	1.03e-26	128
NC_011296.1	tig00004064	97.297	74	0	2	1764644	1764716	139837	139765	1.34e-25	124
NC_011296.1	tig00004064	93.590	78	3	2	997856	997933	2256827	2256752	8.04e-23	115
NC_011296.1	tig00004064	98.246	57	1	0	916470	916526	1449589	1449645	2.25e-18	100
NC_011296.1	tig00004064	98.246	57	1	0	916470	916526	1524452	1524396	2.25e-18	100
NC_011296.1	tig00004064	69.612	645	184	11	1372516	1373156	1657902	1658538	1.05e-16	95.3
NC_011296.1	tig00004064	89.474	76	4	4	643015	643088	2083434	2083507	3.76e-16	93.5
NC_011296.1	tig00004064	86.905	84	8	3	81344	81425	453572	453654	1.35e-15	91.6
NC_011296.1	tig00004064	100.000	32	0	0	1037791	1037822	157500	157469	3.82e-06	60.2
