NC_014355.1	tig00004064	80.459	3050	472	99	1386679	1389678	1451524	1454499	0.0	2217
NC_014355.1	tig00004064	80.459	3050	472	99	1386679	1389678	1522516	1519541	0.0	2217
NC_014355.1	tig00004064	83.587	1578	204	44	1384636	1386176	1449589	1451148	0.0	1428
NC_014355.1	tig00004064	83.523	1578	206	43	1384636	1386176	1524452	1522892	0.0	1424
NC_014355.1	tig00004064	74.810	1187	289	10	1322608	1323789	876671	875490	1.88e-146	527
NC_014355.1	tig00004064	95.294	85	4	0	212256	212340	47987	47903	1.33e-28	135
NC_014355.1	tig00004064	94.186	86	2	2	296163	296246	2022365	2022449	2.22e-26	128
NC_014355.1	tig00004064	76.037	217	49	2	2920106	2920319	1320072	1319856	8.05e-21	110
NC_014355.1	tig00004064	89.744	78	8	0	4060699	4060776	1356966	1356889	4.85e-18	100
NC_014355.1	tig00004064	88.608	79	9	0	1210874	1210952	1356889	1356967	6.27e-17	97.1
NC_014355.1	tig00004064	89.333	75	8	0	364994	365068	2448145	2448219	2.26e-16	95.3
NC_014355.1	tig00004064	84.946	93	13	1	1192261	1192352	43089	43181	8.11e-16	93.5
NC_014355.1	tig00004064	82.243	107	17	2	247031	247136	157532	157427	2.92e-15	91.6
NC_014355.1	tig00004064	98.039	51	1	0	296187	296237	2054764	2054814	1.05e-14	89.8
NC_014355.1	tig00004064	83.117	77	13	0	3555003	3555079	640136	640212	3.80e-09	71.3
NC_014355.1	tig00004064	100.000	28	0	0	728750	728777	613438	613465	0.001	52.8
