LFT_00088,WP_036079779.1,100,215,0,0,1,215,1,215,2.05E-151,428,100
LFT_00088,WP_014959880.1,97.209,215,6,0,1,215,1,215,2.15E-147,418,99.07
LFT_00088,WP_023524462.1,96.744,215,7,0,1,215,1,215,6.38E-147,417,98.6
LFT_00088,AKS24598.1,96.552,203,7,0,13,215,1,203,3.8E-138,394,98.52
LFT_00088,HFT92609.1,76.5,200,47,0,13,212,1,200,1.54E-104,309,87
LFT_00088,EES52593.1,49.505,202,101,1,9,209,9,210,1.09E-58,193,68.81
LFT_00088,TMG02372.1,40.104,192,99,4,25,210,39,220,1.46E-28,117,57.29
LFT_00088,TMF07916.1,39.487,195,102,4,25,213,39,223,5.33E-28,115,56.41
LFT_00088,WP_053241944.1,32.828,198,129,4,10,204,6,202,3.04E-26,110,55.56
LFT_00088,WP_012874597.1,40.476,168,99,1,38,204,35,202,3.34E-26,110,58.93
LFT_00088,WP_018933705.1,36.517,178,108,2,37,214,27,199,6.65E-26,109,53.37
LFT_00088,WP_073342586.1,36.508,189,113,5,32,214,26,213,9.34E-26,109,58.2
LFT_00088,TMA61242.1,39.394,132,80,0,69,200,36,167,1.11E-25,108,62.12
LFT_00088,WP_153833897.1,36.517,178,108,2,37,214,27,199,3.52E-25,107,53.37
LFT_00088,OGO48492.1,44.92,187,94,4,32,214,30,211,4.36E-25,107,60.43
LFT_00088,TMD76980.1,42.667,150,83,2,38,187,18,164,6.48E-25,105,62.67
LFT_00088,TRZ36076.1,38.961,154,93,1,37,190,27,179,1.25E-24,106,53.25
LFT_00088,WP_128212201.1,34.973,183,108,4,18,198,15,188,1.71E-24,105,54.64
LFT_00088,NLD06311.1,38.462,182,109,3,24,203,23,203,1.98E-24,106,56.04
LFT_00088,KAJ53467.1,29.73,185,127,3,31,213,36,219,3.05E-24,105,54.59
LFT_00088,WP_108025437.1,37.037,189,112,4,31,212,30,218,3.72E-24,105,53.44
LFT_00088,WP_085058966.1,29.73,185,127,3,31,213,47,230,3.85E-24,105,54.59
LFT_00088,WP_163582943.1,34.197,193,119,3,25,214,12,199,4.09E-24,104,51.81
LFT_00088,TME22749.1,42.667,150,83,2,38,187,18,164,4.1E-24,103,62.67
LFT_00088,WP_088073575.1,34.031,191,119,3,23,207,26,215,4.44E-24,105,51.83
LFT_00088,WP_110517324.1,38.323,167,95,4,31,190,34,199,4.45E-24,105,55.69
LFT_00088,WP_035509412.1,35.204,196,125,2,10,205,1,194,5.97E-24,104,53.57
LFT_00088,WP_163103108.1,34.659,176,102,5,28,195,25,195,6.34E-24,104,55.68
LFT_00088,TMF31292.1,42,150,84,2,38,187,18,164,8.66E-24,103,62.67
LFT_00088,TMF50498.1,42,150,84,2,38,187,20,166,9.53E-24,102,62.67
LFT_00088,TMG26693.1,42,150,84,2,38,187,18,164,1.42E-23,102,62.67
LFT_00088,WP_043966340.1,32.877,219,135,5,1,211,1,215,1.59E-23,103,49.32
LFT_00088,OLC16052.1,40.26,154,89,2,34,187,14,164,1.77E-23,102,60.39
LFT_00088,SMO35148.1,35.079,191,106,4,31,209,32,216,2E-23,103,51.83
LFT_00088,WP_021094100.1,32.877,219,135,5,1,211,1,215,2.65E-23,103,49.32
LFT_00088,WP_085788434.1,32.877,219,135,5,1,211,1,215,2.74E-23,103,49.32
LFT_00088,TMF47431.1,40.26,154,89,2,34,187,14,164,3.92E-23,101,60.39
LFT_00088,WP_152394119.1,31.132,212,136,4,8,213,13,220,1.28E-22,101,51.42
LFT_00088,WP_133959005.1,35.714,182,112,4,13,190,9,189,1.48E-22,100,55.49
LFT_00088,WP_069028483.1,30.319,188,125,3,25,209,21,205,4.4E-22,99.8,51.6
LFT_00088,WP_078786616.1,33.514,185,120,3,23,205,28,211,1.71E-21,98.2,54.05
LFT_00088,WP_102693612.1,35.057,174,104,4,32,198,28,199,3.43E-21,97.4,54.6
LFT_00088,WP_103096987.1,30.319,188,125,3,25,209,21,205,4.03E-21,97.1,51.06
LFT_00088,WP_069366586.1,33.173,208,127,6,13,210,4,209,6.72E-21,96.7,50
LFT_00088,WP_128519304.1,31.892,185,123,3,23,205,21,204,1.17E-20,96.3,52.43
LFT_00088,OJG91098.1,31.72,186,119,3,26,210,1,179,1.25E-20,95.5,51.61
